TLE4726GXUMA1|Infineon Technologies AG|605|1|$3.8500|10|$3.2800|25|$3.1300|50|$2.9900|100|$2.8400|250|$2.7000|500|$2.4200|
TLV49611TAXBXA1|Infineon Technologies AG|250|1|$0.8040|10|$0.6430|100|$0.4350|500|$0.3760|1000|$0.3280|2500|$0.2660|10000|$0.2570|
ISL8009AIRZ-T7A|Intersil Corporation|250|1|$3.8500|10|$3.4600|25|$3.2500|50|$3.0400|100|$2.8300|
41206ESDA-TR1.|Eaton Bussmann|10000|1|$0.4410|10000|$0.4400|20000|$0.4390|30000|$0.4380|50000|$0.4370|
ERJ2RKF33R2X|Panasonic Electronic Components|24911|1|$0.1500|25|$0.0210|100|$0.0120|250|$0.0110|500|$0.0100|1000|$0.0070|2500|$0.0070|5000|$0.0060|
ERJ-2RKF33R2X.|Panasonic Electronic Components|620000|1|$0.0130|10000|$0.0110|20000|$0.0090
ERJ2RKF51R1X|Panasonic Electronic Components|14867|1|$0.1500|25|$0.0210|100|$0.0120|250|$0.0110|500|$0.0100|1000|$0.0070|2500|$0.0070|5000|$0.0060|
ERJ-2RKF51R1X|Panasonic Electronic Components|10000|1|$0.0070|10000|$0.0070
ERJ-2RKF51R1X|Panasonic Electronic Components|2959|1|$0.1650|25|$0.0230|100|$0.0130|250|$0.0120|500|$0.0110|1000|$0.0080|2500|$0.0080|5000|$0.0070|
HSMS-C280|Broadcom Limited|3827|1|$0.3100|10|$0.2000|25|$0.1720|50|$0.1430|100|$0.1150|250|$0.1070|500|$0.0980|1000|$0.0900|
770602-6|TE Connectivity Ltd|16608|1|$0.3300|10|$0.3100|25|$0.2550|100|$0.2000|500|$0.1740|
TPSD107M016R0125|AVX Corporation|500|1|$0.4000|500|$0.4000|1000|$0.4000|2000|$0.4000|3000|$0.4000|5000|$0.4000|
TPSD107M016R0125|AVX Corporation|88|1|$2.5900|10|$1.8200|25|$1.6700|50|$1.5200|100|$1.3700|
TPSD476K016R0100|AVX Corporation|1000|1|$0.7150|500|$0.7150
TPSD476K016R0100|AVX Corporation|905|1|$1.7600|10|$1.2000|25|$1.1100|50|$1.0200|100|$0.9260|
ABM8G-24.000MHZ-18-D2Y-T|Abracon Corporation|3000|1|$0.4490|1000|$0.4490|2000|$0.4490|4000|$0.4490|6000|$0.4490|10000|$0.4490|
ABM8G-24.000MHZ-18-D2Y-T|Abracon Corporation|374|1|$0.4490|10|$0.4490|25|$0.4490|50|$0.4490|100|$0.4490|250|$0.4490|500|$0.4490|
ABLS-3.579545MHZ-D4-T|Abracon Corporation|1000|1|$0.3600|10|$0.3030|25|$0.2880|50|$0.2720|100|$0.2420|250|$0.2360|500|$0.2290|
ABM2-25.000MHZ-D4Y-T|Abracon Corporation|1654|1|$0.7200|10|$0.6050|25|$0.5740|50|$0.5430|100|$0.4830|250|$0.4720|500|$0.4600|
ABM3-25.000MHZ-D2Y-T|Abracon Corporation|962|1|$0.7280|10|$0.6670|25|$0.6670|50|$0.6670|100|$0.6160|250|$0.6160|500|$0.6160|
ABM3-25.000MHZ-D2Y-T|Abracon Corporation|1000|1|$0.4710|1000|$0.4710|2000|$0.4710|4000|$0.4710|6000|$0.4710|10000|$0.4710|
NR6045T6R3M|TAIYO YUDEN|2450|1|$0.4300|10|$0.2920|25|$0.2780|50|$0.2640|100|$0.2500|250|$0.2370|500|$0.2230|1000|$0.1710|
NS10145T3R3NNA|TAIYO YUDEN|18|1|$0.9200|10|$0.6550|25|$0.6200|50|$0.5850|100|$0.5500|
MC56F8036VLF|NXP Semiconductors|83|1|$11.5900|10|$10.4800|25|$9.4000|50|$9.0400|100|$8.6700|250|$8.5300|500|$7.5500|
MC68302EH16C.|NXP Semiconductors|2363|1|$49.3300|5|$49.0600|10|$46.0300|25|$42.7200|50|$41.3400|100|$39.9600|
MC68332ACEH16|NXP Semiconductors|72|1|$37.3100|5|$35.8600|10|$34.4100|25|$32.7300|50|$31.0600|100|$29.3800|
MC68332ACEH16|NXP Semiconductors|323|1|$37.3100|5|$35.8600|10|$34.4100|25|$32.7300|50|$31.0600|100|$29.3800|
MC68332ACEH20|NXP Semiconductors|111|1|$28.5900
MAX8887EZK18+T|Maxim Integrated Products|3540|1|$2.0000|10|$1.8900|25|$1.5100|50|$1.4300|100|$1.3200|250|$1.2500|500|$1.2100|1000|$0.9240|
MAX9063EBS+TG45|Maxim Integrated Products|2489|1|$0.9200|10|$0.8670|25|$0.6940|50|$0.6590|100|$0.6070|250|$0.5760|500|$0.5550|1000|$0.4400|
MAX3082ECPA+|Maxim Integrated Products|87|1|$3.1400|10|$2.9100|25|$2.7100|50|$2.5900|100|$2.5200|250|$2.4800|500|$2.4400|
HMTSW-104-22-L-D-290-RA|Samtec Inc|100|1|$1.6100|10|$1.4300|100|$1.1800|500|$0.9310|1000|$0.8010|5000|$0.7320|10000|$0.7050|
SN74LVC2GU04DBVR|Texas Instruments|3000|1|$0.1960|3000|$0.1910|6000|$0.1870|12000|$0.1820|18000|$0.1780|30000|$0.1730|
SN74LVC2GU04DBVR|Texas Instruments|1134|1|$0.5800|25|$0.4870|50|$0.3920|100|$0.2970|250|$0.2750|500|$0.2520|1000|$0.2300|
RS07J-GS08|Vishay Intertechnologies|30000|1|$0.5770|10|$0.5050|25|$0.4430|50|$0.3690|100|$0.3090|250|$0.2600|500|$0.2210|1000|$0.1800|
NCX2222GMH|NXP Semiconductors|4000|1|$0.7800|10|$0.6370|25|$0.5630|50|$0.5010|100|$0.4300|250|$0.3770|500|$0.2980|1000|$0.2870|
