EKY-500ELL100ME11D|Nippon Chemi-con Corporation|2152|1334|$0.2000|112|$0.3000|1|$1.0000
NRC04J472TRF|NIC Components Corp|4000|1001|$0.0150|201|$0.0500|1|$0.1500
2SA1037AKT146S|ROHM Semiconductor|409|186|$0.1800|22|$0.2700|1|$0.6000
SMTPA100|STMicroelectronics|1598|653|$0.2660|118|$0.3069|1|$1.0230
TLV2371IDBVT|Texas Instruments|116|85|$1.6200|38|$1.7820|1|$3.2400
RB160VA-40TR|ROHM Semiconductor|7236|6123|$0.2100|2858|$0.2450|1|$0.7000
DS90LT012ATMF/NOPB|National Semiconductor Corporation|251|51|$0.7000|11|$1.0000|1|$2.0000
DS90LT012ATMF/NOPB|Texas Instruments|63|51|$0.7000|11|$1.0000|1|$2.0000
M39006/22-0159|Vishay Tansitor|3|1|$67.1800
M39006/22-0159|Vishay Sprague|316|174|$44.1000|84|$46.2000|1|$54.6000
HCPL-5231#300|Hewlett Packard Co|164|80|$96.0750|39|$100.6500|1|$118.9500
958-4200-A1H|Amphenol Corporation|318|257|$1.8000|90|$1.9500|1|$4.5000
M39003/03-0267|Vishay Sprague|259|196|$2.3640|69|$2.5610|1|$5.9100
M39003/03-0267|KEMET Corporation|128|69|$2.5610|7|$2.9550|1|$5.9100
M39003/03-0267|Mallory Sonalert Products Inc|48|7|$3.0000|3|$4.0000|1|$6.0000
M39003/03-0267|Mallory Sonalert Products Inc|48|7|$3.0000|3|$4.0000|1|$6.0000
M39003/03-0267|Vishay Sprague|15|7|$3.0000|3|$4.0000|1|$6.0000
M39003/03-0267|Vishay Sprague|15|7|$3.0000|3|$4.0000|1|$6.0000
M39003/03-2082|KEMET Corporation|1|2|$7.0500|1|$8.4600
EXBV8V561JV|Panasonic Electronic Components|2778|1853|$0.0194|232|$0.0270|1|$0.0540
EXBV8V561JV|Panasonic Electronic Components|2778|1853|$0.0194|232|$0.0270|1|$0.0540
EXBV8V561JV|Panasonic Electronic Components|20962|18287|$0.0750|8001|$0.0875|1|$0.5000
EXBV8V561JV|Panasonic Electronic Components|20962|18287|$0.0750|8001|$0.0875|1|$0.5000
M39014/02-1318V|KEMET Corporation|4600|1160|$0.7875|641|$0.8625|1|$2.2500
M39014/02-1318V|AVX Corporation|171|134|$1.0125|51|$1.1250|1|$2.2500
M39014/02-1318V|KEMET Corporation|131|56|$0.8250|16|$1.3750|1|$2.2000
M39014/02-1318V|KEMET Corporation|108|56|$0.8250|16|$1.3750|1|$2.2000
M39014/02-1318V|AVX Corporation|34|16|$1.3750|3|$1.6500|1|$2.2000
M39014/02-1318V|AVX Corporation|34|16|$1.3750|3|$1.6500|1|$2.2000
M39014/02-1318V|KEMET Corporation|36|14|$1.5750|3|$1.8900|1|$2.5200
M39014/02-1318V|KEMET Corporation|2612|809|$1.1250|433|$1.2375|1|$3.0000
M39014/02-1318V|AVX Corporation|316|201|$1.3875|92|$1.5000|1|$3.0000
LPC1768FBD100,551|NXP Semiconductors|13|4|$6.5250|2|$8.7000|1|$13.0500
LPC2388FBD144,551|NXP Semiconductors|4|3|$11.6970|1|$12.5325
TR/3216FF3-R|Eaton Bussmann|1880|607|$0.2860|110|$0.3300|1|$1.1000
2SA1987-O(Q)|Toshiba America Electronic Components|244|72|$3.2560|20|$3.5200|1|$5.2800
UUD1A470MCL1GS|Nichicon Corporation|3476|3334|$0.2100|668|$0.2400|1|$0.6000
GRM155R71E333KA88D|Murata Manufacturing Co Ltd|18788|2001|$0.0075|401|$0.0250|1|$0.0750
GRM155R71E333KA88D|Murata Manufacturing Co Ltd|9900|2001|$0.0075|401|$0.0250|1|$0.0750
GRM155R71E333KA88D|Murata Manufacturing Co Ltd|7696|2001|$0.0150|401|$0.0250|1|$0.0750
GRM155R71E682KA01D|Murata Manufacturing Co Ltd|6394|2223|$0.0045|371|$0.0090|1|$0.0135
GRM155R71E682KA01D|Murata Manufacturing Co Ltd|7627|2223|$0.0045|371|$0.0090|1|$0.0135
GRM155R71E682KA01D|NA|19|5|$1.0000|1|$1.2500
GRM155R71E682KA01D|Murata Manufacturing Co Ltd|19|5|$1.0000|1|$1.2500
GRM155R71H223KA12D|Murata Manufacturing Co Ltd|31730|21334|$0.0660|8890|$0.0750|1|$0.6000
RB550SS-30T2R|ROHM Semiconductor|7862|7144|$0.1800|3334|$0.2100|1|$0.6000
RB068LAM-30TR|ROHM Semiconductor|80|46|$0.3300|10|$0.4400|1|$0.5500
RUR020N02TL|ROHM Semiconductor|1|1|$0.8500
10052620-4444P00LF|Amphenol FCi|173|91|$10.5000|22|$11.1000|1|$13.5000
L6506|STMicroelectronics|43|7|$3.1500|3|$4.2000|1|$6.3000
L6506|STMicroelectronics|3|3|$2.9106|1|$4.3659
L6506D|STMicroelectronics|3|3|$3.8800|1|$5.8200
06035A471JAT2A|AVX Corporation|10660|3334|$0.0045|668|$0.0150|1|$0.0450
06035A471JAT2A|AVX Corporation|1017|668|$0.0150|112|$0.0300|1|$0.0450
06035A471JAT2A|AVX Corporation|6096|3334|$0.0090|668|$0.0150|1|$0.0450
06035A471JAT2A|AVX Corporation|4583|3334|$0.0045|668|$0.0150|1|$0.0450
06035A471JAT2A|AVX Corporation|6057|2858|$0.0053|572|$0.0175|1|$0.0525
06035A471JAT2A|AVX Corporation|6400|4445|$0.0600|371|$0.0900|1|$0.3000
06035A471JAT2A|AVX Corporation|2548|2001|$0.1500|168|$0.2000|1|$1.0000
06035A471JAT2A|AVX Corporation|7184|6858|$0.1925|3517|$0.2188|1|$0.8750
35108|TE Connectivity Ltd|200|168|$0.3000|43|$0.3600|1|$0.6000
35108|TE Connectivity Ltd|23|23|$0.5750|5|$0.9200|1|$1.1500
SN74LVC126APWR|Texas Instruments|1127|286|$0.1404|44|$0.1755|1|$0.3120
SN74LVC126APWR|Texas Instruments|1520|215|$0.1560|27|$0.2340|1|$0.7800
SN74LVC126APWR|Texas Instruments|1957|534|$0.3000|134|$0.3750|1|$0.7500
SN74LVC126APWR|Texas Instruments|1446|445|$0.3600|112|$0.4500|1|$0.9000
SN74LVC126APWRG4|Texas Instruments|30|190|$0.1760|24|$0.2640|1|$0.8800
SN74LVC126APWRG4|Texas Instruments|30|190|$0.1760|24|$0.2640|1|$0.8800
SN74LVC139ADRG4|Texas Instruments|1510|328|$0.1224|50|$0.1530|1|$0.2720
SN74LVC139ADRG4|Texas Instruments|1510|328|$0.1224|50|$0.1530|1|$0.2720
SN74LVC16244ADLR|Texas Instruments|2518|1906|$0.6750|890|$0.7875|1|$2.2500
SN74LVC16244ADLR|Texas Instruments|15|11|$1.5000|3|$2.0000|1|$2.5000
SN74LVC16244ADLR|Texas Instruments|1585|1040|$0.8747|557|$0.9621|1|$2.3324
SN74LVC16244ADLRG4|Texas Instruments|500|360|$0.4969|64|$0.5565|1|$1.5900
SN74LVC16244ADLRG4|Texas Instruments|500|360|$0.4969|64|$0.5565|1|$1.5900
SN74LVC16373ADGGR|Texas Instruments|52|18|$0.7500|4|$1.2000|1|$1.5000
SN74LVC16373ADGGR|NA|7855|995|$0.9150|533|$1.0065|1|$2.4400
08055C821KAT2A|AVX Corporation|2355|910|$0.0396|115|$0.0550|1|$0.1100
08055C821KAT2A|AVX Corporation|2480|506|$0.0660|58|$0.0990|1|$0.2200
12065A5R6CAT2A|AVX Corporation|6265|589|$0.0612|75|$0.0850|1|$0.1700
12065C103KAT2A|AVX Corporation|65|1|$0.0550
12065C103KAT2A|AVX Corporation|3070|1430|$0.0105|287|$0.0350|1|$0.1050
12065C103KAT2A|NA|3029|1001|$0.0150|201|$0.0500|1|$0.1500
12065C103KAT2A|AVX Corporation|3200|1516|$0.0220|183|$0.0330|1|$0.1100
12065C103KAT2A|AVX Corporation|880|338|$0.0990|39|$0.1485|1|$0.3300
12065C103KAT2A|AVX Corporation|15440|8001|$0.0875|2668|$0.1000|1|$0.5000
12065C103KAT2A|AVX Corporation|54628|16001|$0.0880|6668|$0.1000|1|$0.8000
12065C103KAT2A|AVX Corporation|3200|2001|$0.1500|168|$0.2000|1|$1.0000
12065C103KAT2A|AVX Corporation|2444|763|$0.2275|138|$0.2625|1|$0.8750
ABLS2-6.000MHZ-D4Y-T|Abracon Corporation|120|45|$0.3000|9|$0.4500|1|$0.6000
PCA9535PW,118|NXP Semiconductors|402|391|$1.3735|181|$1.5399|1|$3.3296
PCA9535PW,118|Philips Semiconductors|120|83|$1.6648|37|$1.8313|1|$3.3296
PCA9633DP1,118|NXP Semiconductors|5|4|$1.2000|1|$1.6000
PCA9633DP1,118|NXP Semiconductors|650|421|$1.2741|195|$1.4286|1|$3.0888
F930J227MNC|Nichicon Corporation|27|95|$0.3816|21|$0.6360|1|$1.2720
EEUFC1V331|Panasonic Electronic Components|799|753|$0.2375|159|$0.2660|1|$0.7600
EEUFC1V331|Panasonic Electronic Components|799|753|$0.2375|159|$0.2660|1|$0.7600
EEUFC1V331|Panasonic Electronic Components|320|209|$0.1600|26|$0.2400|1|$0.8000
EEUFC1V331|Panasonic Electronic Components|320|209|$0.1600|26|$0.2400|1|$0.8000
EEUFC1V331L|Panasonic Electronic Components|254|193|$0.2184|44|$0.3120|1|$0.6240
EEUFC1V331L|Panasonic Electronic Components|254|193|$0.2184|44|$0.3120|1|$0.6240
EEUFC1V331L|Panasonic Electronic Components|12|6|$0.5000|1|$1.0000
EEUFC1V331L|Panasonic Electronic Components|12|6|$0.5000|1|$1.0000
TAJD336K020RNJ|AVX Corporation|844|189|$0.2240|43|$0.3200|1|$0.6400
TAJD336K020RNJ|AVX Corporation|46|11|$0.4200|1|$0.5250
TAJD475M035RNJ|AVX Corporation|1000|546|$0.3275|96|$0.3668|1|$1.0480
PCA9537DP,118|NXP Semiconductors|5|4|$2.2288|1|$3.3432
PCA9546ABS,118|NXP Semiconductors|5|3|$3.1480|1|$4.7220
PCA9557D,118|NXP Semiconductors|420|294|$0.9476|134|$1.0244|1|$2.0488
AT25128B-SSHL-T|Atmel Corporation|43|12|$0.9000|4|$1.3500|1|$1.8000
AT25128B-XHL-T|Atmel Corporation|304|268|$0.6500|49|$0.7500|1|$2.5000
FYD0H104ZF|TOKIN Corporation|8|2|$2.5800|1|$3.4400
ERJ3EKF1300V|Panasonic Electronic Components|4500|4001|$0.0038|801|$0.0125|1|$0.0375
ERJ3EKF1300V|Panasonic Electronic Components|4500|4001|$0.0038|801|$0.0125|1|$0.0375
