MAX3081EESA+|Maxim Integrated Products|36|1|$5.7900|3|$5.3000|10|$4.1000|25|$3.6900|
MAX3082ECPA+|Maxim Integrated Products|50|1|$5.7300|3|$4.9300|10|$3.9600|50|$3.5600|
SML-210VTT86|ROHM Semiconductor|427|2|$0.3254|10|$0.2166|50|$0.1381|250|$0.0983|1000|$0.0787|
TPSB476K006R0500|AVX Corporation|9|5|$0.2910|25|$0.2462|100|$0.2059|500|$0.1813|2000|$0.1533|
BZT52H-C11.115|Nexperia|9000|25|$0.0339|100|$0.0293|250|$0.0234|1000|$0.0211|3000|$0.0197|
160173-2|TE Connectivity Ltd|10000|10000|$0.0579
L78L06ABUTR|STMicroelectronics|2490|3|$0.2558|10|$0.2176|50|$0.1697|250|$0.1592|1000|$0.1534|
L6506|STMicroelectronics|199|1|$3.7500|3|$3.3800|10|$2.6900|50|$2.3600|
5SL6506-7|Siemens|9|1|$11.1200
L6506D|STMicroelectronics|36|1|$4.1100|3|$3.5200|10|$2.8300|40|$2.5500|
MBB02070Z0000ZCT00|Vishay Intertechnologies|6340|10|$0.1100|100|$0.0453|1000|$0.0410|5000|$0.0339|50000|$0.0318|
35108|TE Connectivity Ltd|982|2|$0.5100|20|$0.4500|100|$0.3600|500|$0.3200|
5023510800|Molex|130|2|$0.3063|20|$0.2625|100|$0.2121|1000|$0.1856|
0035108|LAPP KABEL|15|5|$1.5300|25|$1.3600|50|$1.1900|100|$1.1100|
MBB02070C1504FCT00|Vishay Intertechnologies|1790|10|$0.0850|100|$0.0408|1000|$0.0367|5000|$0.0306|50000|$0.0285|
12065C103KAT2A|AVX Corporation|9500|100|$0.2003|300|$0.1268|1000|$0.0717|4000|$0.0551|12000|$0.0460|
PCF8576CT/1.518|NXP Semiconductors|194|1|$2.3500|3|$2.1300|10|$1.7200|50|$1.4800|
EEUFC1V331|Panasonic Electronic Components|518|2|$0.4156|10|$0.3383|50|$0.2739|200|$0.2388|
EEUFC1V331B|Panasonic Electronic Components|299|1|$0.6883|10|$0.3671|100|$0.2600|500|$0.2294|2000|$0.2141|
TAJC157K010RNJ|AVX Corporation|999|5|$0.6932|25|$0.5095|100|$0.3871|500|$0.2974|1500|$0.2930|
TAJD336K020RNJ|AVX Corporation|942|5|$0.3664|25|$0.2780|100|$0.2360|500|$0.1998|2000|$0.1955|
TAJD336K035RNJ|AVX Corporation|2946|1|$2.3193|10|$1.3370|100|$0.9976|500|$0.7765|2000|$0.7508|
AT25128B-SSHL-B|Microchip Technology Inc|51|1|$0.8300|5|$0.8100|25|$0.7500|100|$0.7100|
FYD0H104ZF|KEMET Corporation|758|1|$1.4047|10|$1.0208|100|$0.8265|800|$0.7527|
HLMP-C515-L0002|Broadcom Limited|2000|2|$0.2800|10|$0.1900|50|$0.1500|250|$0.1400|1000|$0.1300|
HLMP-D150|Broadcom Limited|1481|1|$0.5701|5|$0.4507|25|$0.3559|100|$0.1931|500|$0.1803|
HLMP-CB3A-UV0DD|Broadcom Limited|1855|1|$0.7960|5|$0.7164|25|$0.6567|100|$0.5771|500|$0.5373|
EEUEB2E101S|Panasonic Electronic Components|48|1|$1.9100|25|$1.5600|100|$1.3900|200|$1.1400|
0679L4000-01|Bel Fuse|922|1|$0.2909|5|$0.2666|20|$0.2424|100|$0.2060|500|$0.1757|
74AHC1G08GW.125|Nexperia|16797|10|$0.0673|50|$0.0476|250|$0.0381|1000|$0.0336|3000|$0.0290|
74AHC1G32GW.125|Nexperia|1188|10|$0.0622|50|$0.0536|250|$0.0430|1000|$0.0399|3000|$0.0361|
HLMP-1700-B0002|Broadcom Limited|604|2|$0.4355|10|$0.2915|50|$0.2540|250|$0.2142|1000|$0.1978|
HLMP-3301|Broadcom Limited|507|2|$0.2973|10|$0.1990|50|$0.1498|250|$0.1241|1000|$0.1089|
HLMP-3301-D0002|Broadcom Limited|1294|2|$0.2800|10|$0.1900|50|$0.1500|250|$0.1400|1000|$0.1300|
HLMP-3301-D0000|Broadcom Limited|1688|2|$0.2809|10|$0.1873|50|$0.1569|250|$0.1381|1000|$0.1276|
HLMP-3301-D00B2|Broadcom Limited|2000|1|$0.6263|5|$0.4963|25|$0.3512|100|$0.3090|500|$0.2880|
HLMP-3301-F0002|Broadcom Limited|1132|2|$0.2809|10|$0.1873|50|$0.1569|250|$0.1381|1000|$0.1276|
HLMP-3301-F00B2|Broadcom Limited|1553|1|$0.8206|5|$0.6509|25|$0.4600|100|$0.4050|500|$0.3769|
HLMP-3301-F00DD|Broadcom Limited|1587|2|$0.2809|10|$0.1873|50|$0.1569|250|$0.1381|1000|$0.1276|
EECF5R5H105|Panasonic Electronic Components|79|1|$10.9100|5|$7.2100|25|$4.8100|100|$4.0700|
AMN31112J|Panasonic Electronic Components|91|1|$13.4600|5|$11.9400|25|$10.8300|100|$9.7000|
AS6C8016-55ZIN|Alliance Memory Inc|846|1|$8.5000|3|$8.2000|10|$7.2500|25|$6.4200|100|$5.3800|
BLM18PG330SN1D|Murata Manufacturing Co Ltd|11500|100|$0.0175|1000|$0.0140|4000|$0.0123
281839-3|TE Connectivity Ltd|36|2|$0.5200|20|$0.4700|100|$0.3700|500|$0.3300|
281839-5|TE Connectivity Ltd|232|2|$0.5100|20|$0.4700|100|$0.3700|500|$0.3300|
281934-3|TE Connectivity Ltd|47361|10|$0.0646|100|$0.0361|1000|$0.0197|5000|$0.0152|
282087-1|TE Connectivity Ltd|42789|1|$0.6299|10|$0.4267|50|$0.2802|200|$0.2480|1300|$0.2220|
TPSD107M010R0050|AVX Corporation|4315|5|$0.8768|25|$0.6263|100|$0.4760|500|$0.3758|1000|$0.3582|
1-215882-0|TE Connectivity Ltd|55|1|$1.7000|20|$1.5300|100|$1.2400|500|$1.0800|
0-1393258-4|TE Connectivity Ltd|192|1|$8.9600|5|$8.4300|25|$7.9000|100|$7.3700|500|$6.8500|
HCNW4506-300E|Broadcom Limited|61|1|$3.1770|5|$2.7533|25|$2.4021|126|$2.0720|
HCNW4506-500E|Broadcom Limited|750|1|$2.8100|5|$2.3200|25|$2.0400|100|$1.9000|
HCNW4506-500E|Broadcom Limited|750|1|$2.8100|5|$2.3200|25|$2.0400|100|$1.9000|
SN74LVC1G11DBVR|Texas Instruments|1233|5|$0.1600|25|$0.1440|100|$0.1300|500|$0.1040|3000|$0.0932|
BTS462T|Infineon Technologies AG|468|1|$2.0400|3|$1.7600|10|$1.4200|100|$1.2600|
IRF9910PBF|Infineon Technologies AG|164|1|$1.1400|3|$0.9700|10|$0.8200|95|$0.7100|
102241-2|TE Connectivity Ltd|88|1|$0.8200|20|$0.7500|100|$0.6000|500|$0.5300|
104257-1|TE Connectivity Ltd|1023|2|$0.5200|20|$0.4700|100|$0.3700|500|$0.3300|
