ERJ-3EKF1602V|Panasonic Electronic Components|110000|5000|$0.0833|110000|$0.0769
INA129UA/2K5|Texas Instruments|5000|2500|$12.6800|5000|$11.7100
47649-000LF|AMPHENOL FCI|10000|10000|$0.0813
HLMP-D150A|Everlight Electronics Co Ltd|8400|1150|$0.1470|8400|$0.1357
ECQ-E2474KF|Panasonic Electronic Components|20|800|$0.2250|1900|$0.2077
ABM7-24.000MHZ-D2Y-T|Abracon Corporation|133706|1000|$1.2000|133706|$1.1100
EEH-ZA1J220XP|Panasonic Electronic Components|1800|900|$1.2200|1800|$1.1300
ERJ-3EKF3901V|Panasonic Electronic Components|40000|5000|$0.0833|40000|$0.0769
74AHC1G08GW,125|Nexperia|501000|3000|$0.1080|501000|$0.0997
74AHC1G32GW,125|Nexperia|21000|6000|$0.0555|21000|$0.0512
ERA-3AEB152V|Panasonic Electronic Components|10000|5000|$0.0687|10000|$0.0634
RB551V-30TE-17|ROHM SEMICONDUCTOR|12000|3000|$0.0833|12000|$0.0769
RHU002N06T106|ROHM SEMICONDUCTOR|6000|3000|$0.0660|6000|$0.0609
EEC-F5R5H105N|Panasonic Electronic Components|200|100|$10.9200|200|$10.0800
EEE-1EA3R3NR|Panasonic Electronic Components|12000|2000|$0.1000
SR-5-2A-AP|Eaton Bussmann|4000|1000|$0.9667|4000|$0.8923
FP1007R3-R22-R|Eaton Bussmann|2600|650|$1.3700|2600|$1.2600
AS6C8016-55ZIN|Alliance Memory Inc|179|135|$7.8500|179|$7.2500
BLM15BD102SN1D|Murata Manufacturing Co Ltd|330000|10000|$0.0322|450000|$0.0297
282087-1|TE Connectivity Ltd|251935|1300|$2.1800|251935|$2.0200
BD9G101G-TR|ROHM SEMICONDUCTOR|6000|3000|$0.8000|6000|$0.7385
PR03000204703JAC00|Vishay BCcomponents|500|1000|$0.2533
LM2676SX-3.3/NOPB|Texas Instruments|5000|500|$7.5000|5000|$6.9200
ABM3-12.000MHZ-D2Y-T|Abracon Corporation|194000|1000|$2.5700|194000|$2.3700
74LVC3G17DP,125|Nexperia|138000|3000|$0.3333|138000|$0.3077
CC3200R1M2RGCR|Texas Instruments|5000|2500|$8.1700|5000|$7.5400
MK60DN256VLL10|NXP Semiconductors|360|90|$9.9200|360|$9.1500
5530843-3|TE Connectivity Ltd|1880|540|$3.0700|1880|$2.8300
2231368-1|TE Connectivity Ltd|100|50|$71.3300|100|$65.8500
ERJ-12ZYJ510U|Panasonic Electronic Components|10000|5000|$0.0833|10000|$0.0769
104257-1|TE Connectivity Ltd|141206|500|$0.4167|141206|$0.3846
1-104257-1|TE Connectivity Ltd|10|500|$1.6300
LP2985AIM5-2.5/NOPB|Texas Instruments|47000|1000|$1.3300|47000|$1.2300
TJA1051TK/3,118|NXP Semiconductors|54000|6000|$0.6583|54000|$0.6077
BC547BTA|Fairchild Semiconductor Corporation|124000|4000|$0.0472|124000|$0.0435
BC556BTA|Fairchild Semiconductor Corporation|54000|4000|$0.0628|54000|$0.0580
FPF2495UCX|Fairchild Semiconductor Corporation|114000|3000|$0.5917|114000|$0.5462
BZV55-B18,115|Nexperia|670000|2500|$0.0733|670000|$0.0677
BZV55-B24,115|Nexperia|27500|5000|$0.0388|27500|$0.0358
BZV55-B2V4,115|Nexperia|95000|2500|$0.0733|95000|$0.0677
NCV7101SN1T1G|ON SEMICONDUCTOR|6000|3000|$0.9417|6000|$0.8692
NCV8402ASTT1G|ON Semiconductor|2000|1|$0.5000|100|$0.4620|500|$0.4000|1000|$0.3570|
NCV8664DT50RKG|ON SEMICONDUCTOR|5000|2500|$1.3500|5000|$1.2500
4-1734592-0|TE Connectivity Ltd|4000|2000|$0.8333|4000|$0.7692
BCV62C,215|Nexperia|195000|3000|$0.1338|195000|$0.1235
BCW30,215|Nexperia|198000|3000|$0.0612|198000|$0.0565
VSMY98545DS|Vishay Semiconductors|600|600|$4.2200
280360|TE Connectivity Ltd|2000|2000|$0.1062
280377-2|TE Connectivity Ltd|4500|1500|$0.6583|4500|$0.6077
207015-1|TE Connectivity Ltd|1600|800|$1.1200|1600|$1.0300
2-520183-4|TE Connectivity Ltd|2200|2200|$0.3167
6-520315-0|TE Connectivity Ltd|11880|540|$1.0000|11880|$0.9231
VS-30BQ100-M3/9AT|Vishay Semiconductors|280000|3500|$0.3033|280000|$0.2800
ERJ-3EKF5102V|Panasonic Electronic Components|60000|5000|$0.0833|60000|$0.0769
74AHC138D,118|Nexperia|15000|2500|$0.1180
6-1437657-9|TE Connectivity Ltd|1763|1600|$2.3000|1763|$2.1200
74LVC1G66GV,125|Nexperia|12000|3000|$0.0618|12000|$0.0571
74LVC273D,118|Nexperia|10000|2000|$0.2480
AZ1117CH-5.0TRG1|Diodes Incorporated|32000|4000|$0.0862|32000|$0.0795
