ERJ2RKF33R2X|Panasonic Electronic Components|16958|89|$0.0563|268|$0.0375|935|$0.0094|7980|$0.0056|
MC68302EH16C|Freescale Semiconductor|10|1|$22.5000
SN74LVC2GU04DBVR|Texas Instruments|1240|12|$0.4500|46|$0.2925|172|$0.1688|594|$0.1440|
CRCW040217K4FKED|Vishay BLH|9250|34|$0.1500|101|$0.0750|668|$0.0450|3335|$0.0300|
CRCW04021K40FKED|Vishay Intertechnologies|8248|8|$0.6562|32|$0.4265|119|$0.2461|408|$0.2100|882|$0.1837|2097|$0.1706|
CRCW2512402RFKEG|Vishay Intertechnologies|1900|8|$0.6562|32|$0.4265|119|$0.2461|408|$0.2100|882|$0.1837|
M39006/22-0159|Vishay Sprague|396|1|$50.4000|10|$48.4596|17|$46.5192|34|$44.5838|54|$42.6485|72|$41.3280|
M39003/03-0267|Vishay Sprague|19|2|$4.4800|7|$2.9120
M39003/03-0267|Mallory Sonalert Products Inc|60|2|$4.4800|7|$2.9120|19|$2.2400|57|$2.0908|
M39014/02-1318V|AVX Corporation|43|4|$1.6500|14|$1.2375|42|$1.0312
M39014/02-1318V|KEMET Corporation|164|4|$1.6500|14|$1.2375|42|$1.0312|147|$0.6187|
TR/3216FF3-R|Cooper Bussmann Wireless|2350|7|$0.8250|26|$0.5363|95|$0.3094|325|$0.2640|702|$0.2310|1668|$0.2145|
GRM155R71H223KA12D|Murata Manufacturing Co Ltd|8900|12|$0.4500|35|$0.2250|224|$0.1350|1113|$0.0900|3890|$0.0675|9261|$0.0608|
06035A471JAT2A|AVX Corporation|70538|148|$0.0338|445|$0.0225
06035A471JAT2A|AVX Corporation|980|8|$0.6562|32|$0.4265|119|$0.2461|408|$0.2100|882|$0.1837|2097|$0.1706|
SN74LVC16373ADGGR|Texas Instruments|66|5|$1.1250|19|$0.7313
12065C103KAT2A|.|5450|9|$0.6000|26|$0.3000|168|$0.1800|835|$0.1200|2918|$0.0900|6946|$0.0810|
12065C103KAT2A|AVX Corporation|11800|9|$0.6000|26|$0.3000|168|$0.1800|835|$0.1200|2918|$0.0900|6946|$0.0810|
EEU-FC1V331|Panasonic Electronic Components|200|9|$0.6000|26|$0.3000|168|$0.1800
EEU-FC1V331|Panasonic Electronic Components|200|9|$0.6000|26|$0.3000|168|$0.1800
AT25128B-XHL-T|Atmel Corporation|380|3|$1.8750|12|$1.2188|43|$0.7031|144|$0.6000|310|$0.5250|
ERJ3EKF1300V|Panasonic Electronic Components|9218|20|$0.2625|59|$0.1313|382|$0.0788|1905|$0.0525|
ECQE2474KF|Panasonic Corporation|544|12|$0.4500|46|$0.2925|172|$0.1688|594|$0.1440|1286|$0.1260|3057|$0.1170|
ECQ-E2474KFB|Panasonic Electronic Components|3300|7|$0.7500|21|$0.3750|135|$0.2250|668|$0.1500|2335|$0.1125|5557|$0.1013|
HLMP-CM1A-560DD|Avago Technologies|1045|5|$1.0500|21|$0.6825|75|$0.3938|255|$0.3360|552|$0.2940|
EEUEB2E101|.|2000|3|$1.8750|12|$1.2188|43|$0.7031|144|$0.6000|310|$0.5250|735|$0.4875|
ERA-3AEB152V|Panasonic Electronic Components|4180|34|$0.1500|101|$0.0750|668|$0.0450|3335|$0.0300|
HLMP-7019|Hewlett Packard Co|750|7|$0.7500|21|$0.3750|135|$0.2250|668|$0.1500|
RB551V-30TE-17|ROHM Semiconductor|4490|34|$0.1500|101|$0.0750|668|$0.0450|3335|$0.0300|
RHU002N06-T106|ROHM Semiconductor|13245|28|$0.1800|85|$0.0900|557|$0.0540|2779|$0.0360|9724|$0.0270|
BLM18PG330SN1D|Murata Manufacturing Co Ltd|11750|45|$0.1125|135|$0.0750|468|$0.0188|3991|$0.0113|11063|$0.0096|
TPSD107M010R0050|AVX Corporation|139|5|$1.1250|19|$0.7313|70|$0.4219
0805ZC474KAT2A|AVX Corporation|40680|12|$0.4500|35|$0.2250|224|$0.1350|1113|$0.0900|3890|$0.0675|9261|$0.0608|
12063C474KAT2A|AVX Corporation|1825|20|$0.2625|59|$0.1313|382|$0.0788
12063C474KAT2A|AVX Corporation|8610|20|$0.2625|59|$0.1313|382|$0.0788|1905|$0.0525|6668|$0.0394|
0402YD333KAT2A|AVX Corporation|16956|148|$0.0338|445|$0.0225|1557|$0.0056
0402YD333KAT2A|AVX Corporation|3720|148|$0.0338|445|$0.0225|1557|$0.0056
06033C104JAT2A|AVX Corporation|58|8|$0.6562|32|$0.4265
SN74LVC1G11DBVR|Texas Instruments|2995|15|$0.3375|46|$0.1688|298|$0.1013|1482|$0.0675|
EEFUE0G181R|Panasonic Electronic Components|11069|3|$2.2500|10|$1.6875|31|$1.4062|108|$0.8438|357|$0.7875|954|$0.7425|
12061C102JAT2A|AVX Corporation|2000|45|$0.1125|135|$0.0750|468|$0.0188
207359-1|TE Connectivity Ltd|12|3|$1.8750
AMB0680L4RJ8|Integrated Device Technology Inc|250|1|$10.2750|5|$7.7063|14|$6.9356|25|$6.4219|64|$6.1650|131|$5.9081|
IDTAMB0680L4RJ8|Integrated Device Technology Inc|250|1|$10.2750|5|$7.7063|14|$6.9356|25|$6.4219|64|$6.1650|131|$5.9081|
MF-R300-2|Bourns Inc|653|7|$0.7500|21|$0.3750|135|$0.2250
BAT54C-7-F|Diodes Incorporated|17027|45|$0.1125|135|$0.0563|890|$0.0338|4439|$0.0225|
ELL-6RH150M|Panasonic Electronic Components|985|5|$1.0500|21|$0.6825|75|$0.3938|255|$0.3360|552|$0.2940|
SDR0403-220ML|Bourns Inc|1685|11|$0.4875|43|$0.3169|159|$0.1828|549|$0.1560|1187|$0.1365|
SMBJ18CA|Vishay Semiconductors|400|15|$0.3375|46|$0.1688|298|$0.1013
2643000301|Fair-Rite Products Corp|4400|64|$0.0788|192|$0.0525|668|$0.0131
TPSC476K016R0110|AVX Corporation|205|5|$1.1250|19|$0.7313|70|$0.4219
SMAJ58CA|Littelfuse Inc|1212|14|$0.3750|41|$0.1875|268|$0.1125
XC4VLX60-10FFG668I|Xilinx|10|1|$786.8000|4|$734.3204|6|$681.9196|8|$629.4400|
T491C157K010AT|KEMET Corporation|10|7|$0.7500|28|$0.4875|104|$0.2812|357|$0.2400|772|$0.2100|
DS92CK16TMTC|National Semiconductor Corporation|1|2|$4.7040|7|$3.0576|18|$2.3520|55|$2.1954|115|$2.0382|235|$1.9286|
NR6045T100M|TAIYO YUDEN|55|9|$0.6000|26|$0.3000
SMBJ110A|Vishay Semiconductors|600|17|$0.3000|51|$0.1500
SMBJ110A|GSI Technology|145|17|$0.3000|51|$0.1500
12105C475KAT2A|AVX Corporation|863|4|$1.5000|15|$0.9750|53|$0.5625|179|$0.4800|387|$0.4200|
PCA9306DCTR|Texas Instruments|72|9|$0.6000|35|$0.3900
